Whass...up!	Whassup.
Can you promise that?	On his mother's grave.
What is that?	That is my stapler.
Well, we only have an hour.	I figured it would save time.
Temporary workspace. You can use it.	Thank you.
Absolutely not.	Yes you did.
Do you?	I think you need to confess...
Jim Halpert.	Let me out.
Who is this?	Let me out or you're fired.
I have nothing to do.	Jim!
Who is this?	Dwight Schrute.
Really?	Yeah.
To what?	The gun show.
What? No.	Just now.
OK, yeah.	Jackpot.
I vouched for you.	Michael, I...
No, no, ridiculous.	Michael, look. Missed it...
No, I'm team captain.	Can I be team manager?
Aw, come on Dwight.	What? Shirts on or off?
Come on! Hey, Dwight. Dwight!	Yeah! In your face!
Dwight!	Yes!
You sit out there, don't you?	So am I.
So, what? You're Assistant Regional Manager.	Assistant to the Regional Manager.
Shoot.	Who? Dave Barry?
You are a pervert!	What were you doing in there?
Just don't, don't talk-	...for people's behavior.
I should get back to work.	Okay.
Here you go. All done.	Diversifying. Smart.
You know.	You should go.
Really?	Uh huh.
Silver medal.	I think I should be there.
As my associate.	Same thing.
Ok. Alright. Oh boy.	Well, this is it.
Why would we do that?	Just for fun?
Stop it!	Ow.
Toaster Oven 101?	Head towards the exits.
I am so sorry.	Get up off your desks!
How are you?	DO YOU WANT TO DIE?
Was it worth it?	NO!
Nice. Smart.	...hollowed out, inside
Come on, egghead. Let's do it.	Do it.
I am.	Right?
Yeah.	I'm on it.
Oh, yeah.	Yeah, well look... What about me?
Eh.	Stanley. Pam. Oscar. Meredith. Kevin. Angela.
What?	Tell him, not Dwight.
No.	As Assistant Regional Manager...
Well, maybe I did.	Where is my desk?
Just a formality.	Wash your hands, Kevin.
Thank you, Sensei.	Dwight...
Ok, say please.	No. That is not a toy.
Could you practice on the forms?	No women or children, unless provoked.
Hi-yah!	Good.
Really?	Yeah.
Shi mate!	Hiii!
No.	Eat it!
Ok, break. Break.	No holding.
Ok, to what?	Just put The Hospital. Contact number
Do you want to play-	Made copies of it-
They're important.	Ok, what are they?
Hello, Dwight.	Did you do her?
Uh, no, no, no Gould.	Did you do her?
Wait, wait	Uh, duh.
Ok.	To do something about-
Look-	Michael?
No, Dwight	Great.
Oh, did not!	Jan, have you ever had deer?
Ok.	Mi-
I know.	Good.
Oh, uh, no. Could-	I was wondering-
Umm, Michael.	Why just Michael?
Uh hmm.	Oh, that's perfect!
That's, whatever stupid show you want-	I can't-
Hey, you must be Dwight!	You don't work with us.
Here we are.	This is so awesome.
Oh god.	Thank you.
Thank you.	Push!
Yep. That's exactly what happened.	Pam.
Damn it.	Okay, moving along. Meredith, let's go.
Hey.	Hello. Jim?
I love these.	Okay, fine. Where's my wallet?
Hello, everyone.	Good morning, Michael.
So, okay.	Limbo, whoo!
Okay...	Me! Me, me, me.
Yeah, that's right.	Want to take a rake... .
Ok...	It smells like chicken soup.
What is going on?	I'll be back, I mean...
Oh God!	Aw, Pam, you're adorable
I don't want Dwight!	I'm thirsty.
What was that?!	No.
Danger.	Your foot?
Come on Dwight.	Sorry.
Sorry.	Hi Michael!
What?	What is that?
Where is my cornbread?	That's what she said.
That is so cool. Thanks Dwight!	Yep.
I, barely know him...	I want Michael to take me...
Stop, stop, stop, stop.	Tired...
Whhh... What are you guys doing?	Michael.
Yes.	Oscar is out sick.
I'll just be sleep---	Ok. First impressions?
I think.	Oh God, here.
Not so much.	Ok, what is going on here?
Great.	Who took all the black ones?
Yeah, yeah, yeah. Old bullpen.	Ha ha ha... the old bullpen.
This is great.	Yeah!
Yeah.	And who had your office?
Dwight.	Michael.
Stop.	Jethro Tull...
All right.	Am I the 107th caller?
How about rainbows?	No.
Yeah.	Screwed.
Ryan!	Fumble! Yaaah!
Hey, Dwight.	Hut! Hut! Hut! Hike!
That's what she said!	Ha! I don't get it.
Are we out of jobs?	Yes.
Dwight, how we doing?	No, I can't... I ca...
nan	WE ARE WARRIORS!
nan	Yeah. Yes!
That's your name? Mister Poop?	Schrute. Mister Schrute.
Dwight! Dwight!	There's a photo...
Don't!	...from the 1930's...
I want to be on TV!	And he is on TV now!
What?	Listen up everyone! It is 11
